service_id,date,exception_type
1,20160319,1
1,20160326,1
1,20160402,1
1,20160409,1
1,20160416,1
1,20160423,1
1,20160430,1
1,20160507,1
1,20160514,1
1,20160521,1
1,20160528,1
1,20160604,1
1,20160611,1
1,20160618,1
1,20160625,1
1,20160702,1
1,20160709,1
1,20160716,1
1,20160723,1
1,20160730,1
1,20160806,1
1,20160813,1
1,20160820,1
1,20160827,1
1,20160903,1
1,20160910,1
2,20160320,1
2,20160327,1
2,20160403,1
2,20160410,1
2,20160417,1
2,20160424,1
2,20160501,1
2,20160508,1
2,20160515,1
2,20160522,1
2,20160529,1
2,20160605,1
2,20160612,1
2,20160619,1
2,20160626,1
2,20160703,1
2,20160710,1
2,20160717,1
2,20160724,1
2,20160731,1
2,20160807,1
2,20160814,1
2,20160821,1
2,20160828,1
2,20160904,1
2,20160911,1
3,20160316,1
3,20160317,1
3,20160318,1
3,20160321,1
3,20160322,1
3,20160323,1
3,20160324,1
3,20160325,1
3,20160328,1
3,20160329,1
3,20160330,1
3,20160331,1
3,20160401,1
3,20160404,1
3,20160405,1
3,20160406,1
3,20160407,1
3,20160408,1
3,20160411,1
3,20160412,1
3,20160413,1
3,20160414,1
3,20160415,1
3,20160419,1
3,20160420,1
3,20160421,1
3,20160422,1
3,20160425,1
3,20160426,1
3,20160427,1
3,20160428,1
3,20160429,1
3,20160502,1
3,20160503,1
3,20160504,1
3,20160505,1
3,20160506,1
3,20160509,1
3,20160510,1
3,20160511,1
3,20160512,1
3,20160513,1
3,20160516,1
3,20160517,1
3,20160518,1
3,20160519,1
3,20160520,1
3,20160523,1
3,20160524,1
3,20160525,1
3,20160526,1
3,20160527,1
3,20160530,1
3,20160531,1
3,20160601,1
3,20160602,1
3,20160603,1
3,20160606,1
3,20160607,1
3,20160608,1
3,20160609,1
3,20160610,1
3,20160613,1
3,20160614,1
3,20160615,1
3,20160616,1
3,20160617,1
3,20160620,1
3,20160621,1
3,20160622,1
3,20160623,1
3,20160624,1
3,20160627,1
3,20160628,1
3,20160629,1
3,20160630,1
3,20160701,1
3,20160704,1
3,20160705,1
3,20160706,1
3,20160707,1
3,20160708,1
3,20160711,1
3,20160712,1
3,20160713,1
3,20160714,1
3,20160715,1
3,20160718,1
3,20160719,1
3,20160720,1
3,20160721,1
3,20160722,1
3,20160725,1
3,20160726,1
3,20160727,1
3,20160728,1
3,20160729,1
3,20160801,1
3,20160802,1
3,20160803,1
3,20160804,1
3,20160805,1
3,20160808,1
3,20160809,1
3,20160810,1
3,20160811,1
3,20160812,1
3,20160815,1
3,20160816,1
3,20160817,1
3,20160818,1
3,20160819,1
3,20160822,1
3,20160823,1
3,20160824,1
3,20160825,1
3,20160826,1
3,20160829,1
3,20160830,1
3,20160831,1
3,20160901,1
3,20160902,1
3,20160905,1
3,20160906,1
3,20160907,1
3,20160908,1
3,20160909,1
4,20160316,1
4,20160317,1
4,20160318,1
4,20160321,1
4,20160322,1
4,20160323,1
4,20160324,1
4,20160325,1
4,20160328,1
4,20160329,1
4,20160330,1
4,20160331,1
4,20160401,1
4,20160404,1
4,20160405,1
4,20160406,1
4,20160407,1
4,20160408,1
4,20160411,1
4,20160412,1
4,20160413,1
4,20160414,1
4,20160415,1
4,20160418,1
4,20160419,1
4,20160420,1
4,20160421,1
4,20160422,1
4,20160425,1
4,20160426,1
4,20160427,1
4,20160428,1
4,20160429,1
4,20160502,1
4,20160503,1
4,20160504,1
4,20160505,1
4,20160506,1
4,20160509,1
4,20160510,1
4,20160511,1
4,20160512,1
4,20160513,1
4,20160516,1
4,20160517,1
4,20160518,1
4,20160519,1
4,20160520,1
4,20160523,1
4,20160524,1
4,20160525,1
4,20160526,1
4,20160527,1
4,20160530,1
4,20160531,1
4,20160601,1
4,20160602,1
4,20160603,1
4,20160606,1
4,20160607,1
4,20160608,1
4,20160609,1
4,20160610,1
4,20160613,1
4,20160614,1
4,20160615,1
4,20160616,1
4,20160617,1
4,20160620,1
4,20160621,1
4,20160622,1
4,20160623,1
4,20160624,1
4,20160627,1
4,20160628,1
4,20160629,1
4,20160630,1
4,20160701,1
4,20160704,1
4,20160705,1
4,20160706,1
4,20160707,1
4,20160708,1
4,20160711,1
4,20160712,1
4,20160713,1
4,20160714,1
4,20160715,1
4,20160718,1
4,20160719,1
4,20160720,1
4,20160721,1
4,20160722,1
4,20160725,1
4,20160726,1
4,20160727,1
4,20160728,1
4,20160729,1
4,20160801,1
4,20160802,1
4,20160803,1
4,20160804,1
4,20160805,1
4,20160808,1
4,20160809,1
4,20160810,1
4,20160811,1
4,20160812,1
4,20160815,1
4,20160816,1
4,20160817,1
4,20160818,1
4,20160819,1
4,20160822,1
4,20160823,1
4,20160824,1
4,20160825,1
4,20160826,1
4,20160829,1
4,20160830,1
4,20160831,1
4,20160901,1
4,20160902,1
4,20160905,1
4,20160906,1
4,20160907,1
4,20160908,1
4,20160909,1
5,20160325,1
6,20160316,1
6,20160317,1
6,20160318,1
6,20160321,1
6,20160322,1
6,20160323,1
6,20160324,1
6,20160328,1
6,20160329,1
6,20160330,1
6,20160331,1
6,20160401,1
6,20160404,1
6,20160405,1
6,20160406,1
6,20160407,1
6,20160408,1
6,20160411,1
6,20160412,1
6,20160413,1
6,20160414,1
6,20160415,1
6,20160418,1
6,20160419,1
6,20160420,1
6,20160421,1
6,20160422,1
6,20160425,1
6,20160426,1
6,20160427,1
6,20160428,1
6,20160429,1
6,20160502,1
6,20160503,1
6,20160504,1
6,20160505,1
6,20160506,1
6,20160509,1
6,20160510,1
6,20160511,1
6,20160512,1
6,20160513,1
6,20160516,1
6,20160517,1
6,20160518,1
6,20160519,1
6,20160520,1
6,20160523,1
6,20160524,1
6,20160525,1
6,20160526,1
6,20160527,1
6,20160530,1
6,20160531,1
6,20160601,1
6,20160602,1
6,20160603,1
6,20160606,1
6,20160607,1
6,20160608,1
6,20160609,1
6,20160610,1
6,20160613,1
6,20160614,1
6,20160615,1
6,20160616,1
6,20160617,1
6,20160620,1
6,20160621,1
6,20160622,1
6,20160623,1
6,20160624,1
6,20160627,1
6,20160628,1
6,20160629,1
6,20160630,1
6,20160701,1
6,20160704,1
6,20160705,1
6,20160706,1
6,20160707,1
6,20160708,1
6,20160711,1
6,20160712,1
6,20160713,1
6,20160714,1
6,20160715,1
6,20160718,1
6,20160719,1
6,20160720,1
6,20160721,1
6,20160722,1
6,20160725,1
6,20160726,1
6,20160727,1
6,20160728,1
6,20160729,1
6,20160801,1
6,20160802,1
6,20160803,1
6,20160804,1
6,20160805,1
6,20160808,1
6,20160809,1
6,20160810,1
6,20160811,1
6,20160812,1
6,20160815,1
6,20160816,1
6,20160817,1
6,20160818,1
6,20160819,1
6,20160822,1
6,20160823,1
6,20160824,1
6,20160825,1
6,20160826,1
6,20160829,1
6,20160830,1
6,20160831,1
6,20160901,1
6,20160902,1
6,20160905,1
6,20160906,1
6,20160907,1
6,20160908,1
6,20160909,1
7,20160316,1
7,20160317,1
7,20160318,1
7,20160322,1
7,20160323,1
7,20160324,1
7,20160325,1
7,20160329,1
7,20160330,1
7,20160331,1
7,20160401,1
7,20160405,1
7,20160406,1
7,20160407,1
7,20160408,1
7,20160412,1
7,20160413,1
7,20160414,1
7,20160415,1
7,20160419,1
7,20160420,1
7,20160421,1
7,20160422,1
7,20160426,1
7,20160427,1
7,20160428,1
7,20160429,1
7,20160503,1
7,20160504,1
7,20160505,1
7,20160506,1
7,20160510,1
7,20160511,1
7,20160512,1
7,20160513,1
7,20160517,1
7,20160518,1
7,20160519,1
7,20160520,1
7,20160524,1
7,20160525,1
7,20160526,1
7,20160527,1
7,20160531,1
7,20160601,1
7,20160602,1
7,20160603,1
7,20160607,1
7,20160608,1
7,20160609,1
7,20160610,1
7,20160614,1
7,20160615,1
7,20160616,1
7,20160617,1
7,20160621,1
7,20160622,1
7,20160623,1
7,20160624,1
7,20160628,1
7,20160629,1
7,20160630,1
7,20160701,1
7,20160705,1
7,20160706,1
7,20160707,1
7,20160708,1
7,20160712,1
7,20160713,1
7,20160714,1
7,20160715,1
7,20160719,1
7,20160720,1
7,20160721,1
7,20160722,1
7,20160726,1
7,20160727,1
7,20160728,1
7,20160729,1
7,20160802,1
7,20160803,1
7,20160804,1
7,20160805,1
7,20160809,1
7,20160810,1
7,20160811,1
7,20160812,1
7,20160816,1
7,20160817,1
7,20160818,1
7,20160819,1
7,20160823,1
7,20160824,1
7,20160825,1
7,20160826,1
7,20160830,1
7,20160831,1
7,20160901,1
7,20160902,1
7,20160906,1
7,20160907,1
7,20160908,1
7,20160909,1
8,20160318,1
8,20160401,1
8,20160408,1
8,20160415,1
8,20160422,1
8,20160429,1
8,20160506,1
8,20160513,1
8,20160520,1
8,20160527,1
8,20160603,1
8,20160610,1
8,20160617,1
8,20160624,1
8,20160701,1
8,20160708,1
8,20160715,1
8,20160722,1
8,20160729,1
8,20160805,1
8,20160812,1
8,20160819,1
8,20160826,1
8,20160902,1
8,20160909,1
9,20160316,1
9,20160317,1
9,20160321,1
9,20160322,1
9,20160323,1
9,20160324,1
9,20160328,1
9,20160329,1
9,20160330,1
9,20160331,1
9,20160404,1
9,20160405,1
9,20160406,1
9,20160407,1
9,20160411,1
9,20160412,1
9,20160413,1
9,20160414,1
9,20160418,1
9,20160419,1
9,20160420,1
9,20160421,1
9,20160425,1
9,20160426,1
9,20160427,1
9,20160428,1
9,20160502,1
9,20160503,1
9,20160504,1
9,20160505,1
9,20160509,1
9,20160510,1
9,20160511,1
9,20160512,1
9,20160516,1
9,20160517,1
9,20160518,1
9,20160519,1
9,20160523,1
9,20160524,1
9,20160525,1
9,20160526,1
9,20160530,1
9,20160531,1
9,20160601,1
9,20160602,1
9,20160606,1
9,20160607,1
9,20160608,1
9,20160609,1
9,20160613,1
9,20160614,1
9,20160615,1
9,20160616,1
9,20160620,1
9,20160621,1
9,20160622,1
9,20160623,1
9,20160627,1
9,20160628,1
9,20160629,1
9,20160630,1
9,20160704,1
9,20160705,1
9,20160706,1
9,20160707,1
9,20160711,1
9,20160712,1
9,20160713,1
9,20160714,1
9,20160718,1
9,20160719,1
9,20160720,1
9,20160721,1
9,20160725,1
9,20160726,1
9,20160727,1
9,20160728,1
9,20160801,1
9,20160802,1
9,20160803,1
9,20160804,1
9,20160808,1
9,20160809,1
9,20160810,1
9,20160811,1
9,20160815,1
9,20160816,1
9,20160817,1
9,20160818,1
9,20160822,1
9,20160823,1
9,20160824,1
9,20160825,1
9,20160829,1
9,20160830,1
9,20160831,1
9,20160901,1
9,20160905,1
9,20160906,1
9,20160907,1
9,20160908,1
10,20160316,1
10,20160323,1
10,20160330,1
10,20160406,1
10,20160413,1
10,20160420,1
10,20160427,1
10,20160504,1
10,20160511,1
10,20160518,1
10,20160525,1
10,20160601,1
10,20160608,1
10,20160615,1
10,20160622,1
10,20160629,1
10,20160706,1
10,20160713,1
10,20160720,1
10,20160727,1
10,20160803,1
10,20160810,1
10,20160817,1
10,20160824,1
10,20160831,1
10,20160907,1
11,20160317,1
11,20160318,1
11,20160321,1
11,20160322,1
11,20160324,1
11,20160328,1
11,20160329,1
11,20160331,1
11,20160401,1
11,20160404,1
11,20160405,1
11,20160407,1
11,20160408,1
11,20160411,1
11,20160412,1
11,20160414,1
11,20160415,1
11,20160418,1
11,20160419,1
11,20160421,1
11,20160422,1
11,20160425,1
11,20160426,1
11,20160428,1
11,20160429,1
11,20160502,1
11,20160503,1
11,20160505,1
11,20160506,1
11,20160509,1
11,20160510,1
11,20160512,1
11,20160513,1
11,20160516,1
11,20160517,1
11,20160519,1
11,20160520,1
11,20160523,1
11,20160524,1
11,20160526,1
11,20160527,1
11,20160530,1
11,20160531,1
11,20160602,1
11,20160603,1
11,20160606,1
11,20160607,1
11,20160609,1
11,20160610,1
11,20160613,1
11,20160614,1
11,20160616,1
11,20160617,1
11,20160620,1
11,20160621,1
11,20160623,1
11,20160624,1
11,20160627,1
11,20160628,1
11,20160630,1
11,20160701,1
11,20160704,1
11,20160705,1
11,20160707,1
11,20160708,1
11,20160711,1
11,20160712,1
11,20160714,1
11,20160715,1
11,20160718,1
11,20160719,1
11,20160721,1
11,20160722,1
11,20160725,1
11,20160726,1
11,20160728,1
11,20160729,1
11,20160801,1
11,20160802,1
11,20160804,1
11,20160805,1
11,20160808,1
11,20160809,1
11,20160811,1
11,20160812,1
11,20160815,1
11,20160816,1
11,20160818,1
11,20160819,1
11,20160822,1
11,20160823,1
11,20160825,1
11,20160826,1
11,20160829,1
11,20160830,1
11,20160901,1
11,20160902,1
11,20160905,1
11,20160906,1
11,20160908,1
11,20160909,1
12,20160317,1
12,20160318,1
12,20160324,1
12,20160331,1
12,20160401,1
12,20160407,1
12,20160408,1
12,20160414,1
12,20160415,1
12,20160421,1
12,20160422,1
12,20160428,1
12,20160429,1
12,20160505,1
12,20160506,1
12,20160512,1
12,20160513,1
12,20160519,1
12,20160520,1
12,20160526,1
12,20160527,1
12,20160602,1
12,20160603,1
12,20160609,1
12,20160610,1
12,20160616,1
12,20160617,1
12,20160623,1
12,20160624,1
12,20160630,1
12,20160701,1
12,20160707,1
12,20160708,1
12,20160714,1
12,20160715,1
12,20160721,1
12,20160722,1
12,20160728,1
12,20160729,1
12,20160804,1
12,20160805,1
12,20160811,1
12,20160812,1
12,20160818,1
12,20160819,1
12,20160825,1
12,20160826,1
12,20160901,1
12,20160902,1
12,20160908,1
12,20160909,1
13,20160326,1
13,20160402,1
13,20160409,1
13,20160416,1
13,20160423,1
14,20160327,1
14,20160403,1
14,20160410,1
14,20160417,1
14,20160424,1
14,20160501,1
15,20160323,1
15,20160324,1
15,20160325,1
15,20160328,1
15,20160329,1
15,20160330,1
15,20160331,1
15,20160401,1
15,20160425,1
15,20160426,1
15,20160428,1
15,20160429,1
15,20160506,1
16,20160319,1
16,20160325,1
16,20160326,1
16,20160402,1
16,20160409,1
16,20160416,1
16,20160423,1
16,20160430,1
16,20160507,1
16,20160514,1
16,20160521,1
16,20160528,1
16,20160604,1
16,20160611,1
16,20160618,1
16,20160625,1
16,20160702,1
16,20160709,1
16,20160716,1
16,20160723,1
16,20160730,1
16,20160806,1
16,20160813,1
16,20160820,1
16,20160827,1
16,20160903,1
16,20160910,1
17,20160318,1
17,20160325,1
17,20160401,1
17,20160408,1
17,20160415,1
17,20160422,1
17,20160429,1
17,20160506,1
17,20160513,1
17,20160520,1
17,20160527,1
17,20160603,1
17,20160610,1
17,20160617,1
17,20160624,1
17,20160701,1
17,20160708,1
17,20160715,1
17,20160722,1
17,20160729,1
17,20160805,1
17,20160812,1
17,20160819,1
17,20160826,1
17,20160902,1
17,20160909,1
18,20160502,1
18,20160503,1
18,20160504,1
18,20160505,1
18,20160506,1
18,20160509,1
18,20160510,1
18,20160511,1
18,20160512,1
18,20160513,1
18,20160516,1
18,20160517,1
18,20160518,1
18,20160519,1
18,20160520,1
18,20160523,1
18,20160524,1
18,20160525,1
18,20160526,1
18,20160527,1
18,20160530,1
18,20160531,1
18,20160601,1
18,20160602,1
18,20160603,1
18,20160606,1
18,20160607,1
18,20160608,1
18,20160609,1
18,20160610,1
18,20160613,1
18,20160614,1
18,20160615,1
18,20160616,1
18,20160617,1
18,20160620,1
18,20160621,1
18,20160622,1
18,20160623,1
18,20160624,1
18,20160627,1
18,20160628,1
18,20160629,1
18,20160630,1
18,20160701,1
18,20160704,1
18,20160705,1
18,20160706,1
18,20160707,1
18,20160708,1
18,20160711,1
18,20160712,1
18,20160713,1
18,20160714,1
18,20160715,1
18,20160718,1
18,20160719,1
18,20160720,1
18,20160721,1
18,20160722,1
18,20160725,1
18,20160726,1
18,20160727,1
18,20160728,1
18,20160729,1
18,20160801,1
18,20160802,1
18,20160803,1
18,20160804,1
18,20160805,1
18,20160808,1
18,20160809,1
18,20160810,1
18,20160811,1
18,20160812,1
18,20160815,1
18,20160816,1
18,20160817,1
18,20160818,1
18,20160819,1
18,20160822,1
18,20160823,1
18,20160824,1
18,20160825,1
18,20160826,1
18,20160829,1
